style,prompt,evaluation_seed
landscape,"A landscape scenic capture portraying a glowing coastal cliffs, cinematic framing and tone.",18137
underexposed,"A underexposed fine-art photo illustrating the snowy meadow, subtle and dramatic.",32192
minimalist composition,A minimalist composition photograph focusing on the serene interplay between light and the sunlit meadow.,19210
bokeh,"A bokeh nature image of the ancient ruins, blending ethereal light and composition.",38915
film grain,"A film grain image revealing the radiant grandeur of the ancient ruins, subtle yet powerful.",32200
vintage,"Captured in vintage aesthetic, the dense pine forest appears dramatic against the horizon.",38382
sepia tone,"In sepia tone photography, a golden depiction of the forest valley during twilight.",43430
surreal,"A nature photo taken in surreal style, highlighting a glowing rocky canyon with soft shadows.",13587
macro,"A macro photo of the forest valley, rich in texture and mist-covered atmosphere.",455
macro,A macro photograph focusing on the moody interplay between light and the autumn woodland.,37675
macro,"A macro photography piece showing the hidden waterfall, filled with shadowed atmosphere.",18225
natural lighting,A natural lighting travel photo that captures the crisp essence of the desert dunes.,13687
infrared,"A infrared photograph of a glowing rolling hills, emphasizing natural light and balanced tones.",43585
product,"A product photograph showing the coral beach, rendered in moody clarity.",36183
portrait,"A portrait landscape scene portraying a softly lit coral beach, with cinematic composition.",25447
monochrome,A monochrome photo highlighting the icy emotion of nature seen in the frozen river.,15613
cinematic,A cinematic panoramic capture showing the ethereal openness of the misty jungle.,33481
sepia tone,"A sepia tone visual study of the autumn woodland, exploring its dramatic texture and lighting.",47887
high saturation,"A carefully composed high saturation photo of the coastal cliffs, filled with softly lit tones.",24125
golden hour,"A golden hour photography composition of the serene lake, highlighting its tranquil environment.",6291
portrait,A portrait photograph depicting the majestic stillness of the serene lake at dawn.,15033
film grain,"An evocative film grain landscape photograph of the rocky canyon, balanced and luminous.",33387
food,"A cinematic food photograph of the coastal cliffs, under shadowed evening light.",16270
product,"A product exploration of the hidden waterfall, revealing majestic forms and light gradients.",43978
sepia tone,"A sepia tone exploration of the autumn woodland, revealing radiant forms and light gradients.",15415
blue hour,"A nature photo taken in blue hour style, highlighting a golden city skyline with soft shadows.",5470
macro,"An artistic macro image showing a crisp view of the rocky canyon, taken at sunrise.",25601
sepia tone,"A sepia tone photography piece showing the rocky canyon, filled with crisp atmosphere.",30922
portrait,"A portrait nature image of the frozen river, blending melancholic light and composition.",27509
high contrast,"Captured in high contrast style, the sunlit meadow reveals its radiant charm through subtle lighting.",22330
cinematic,A cinematic photograph of a ancient ruins bathed in vivid afternoon light and atmospheric tones.,27972
golden hour,"A wide panoramic golden hour view of a glowing rolling hills, emphasizing scale and tranquility.",31411
documentary,A detailed documentary image illustrating the forest valley with luminous lighting and tone.,13542
minimalist,"A minimalist capture of a mysterious rolling hills, rendered in photorealistic lighting.",45412
blue hour,A blue hour view emphasizing vivid patterns and contrast within the rolling hills.,16965
golden hour,"A golden hour photograph of a glowing desert dunes, emphasizing natural light and balanced tones.",48557
sepia tone,"An evocative sepia tone landscape photograph of the coral beach, balanced and shadowed.",33469
minimalist composition,"A minimalist composition outdoor shot of a serene lake, featuring glowing lighting and natural tones.",20072
documentary,"A documentary visual study of the dense pine forest, exploring its shadowed texture and lighting.",23280
street photography,"A street photography capture of a serene tropical island, rendered in photorealistic lighting.",15794
portrait,A portrait photo series focusing on sun-drenched landscapes like the desert dunes.,15450
macro,"A wide panoramic macro view of a sun-drenched tropical island, emphasizing scale and tranquility.",48910
fashion,"In fashion photography, a moody depiction of the forest valley during twilight.",43985
vintage,A scenic vintage landscape capturing the beauty of the hidden waterfall under icy skies.,35600
documentary,A documentary photograph of a ancient ruins bathed in glowing afternoon light and atmospheric tones.,45168
HDR,"A HDR capture of a tranquil coral beach, rendered in photorealistic lighting.",15714
vintage,An outdoor vintage photo portraying the coastal cliffs in breathtaking natural tones.,28765
pastel tone,A pastel tone frame capturing luminous weather and mood around the coastal cliffs.,42211
muted colors,"In muted colors style, a detailed shot of a mist-covered misty jungle surrounded by nature.",15185
astrophotography,A detailed astrophotography image illustrating the misty jungle with crisp lighting and tone.,5068
documentary,A documentary creative landscape photograph featuring the tranquil beauty of the rocky canyon.,35156
wide-angle,"A wide-angle nature image of the autumn woodland, blending crisp light and composition.",40997
high saturation,"A high saturation landscape scene portraying a golden dense pine forest, with cinematic composition.",17010
vintage,"A cinematic vintage photograph of the forest valley, under glowing evening light.",33452
fisheye,"A fisheye image revealing the shadowed grandeur of the coastal cliffs, subtle yet powerful.",16295
bokeh,"A bokeh photography piece showing the coral beach, filled with tranquil atmosphere.",29721
fisheye,A fisheye photograph depicting the serene stillness of the serene lake at dawn.,26082
vintage,"A vintage landscape scene portraying a radiant snowy meadow, with cinematic composition.",31542
cinematic,A cinematic panoramic capture showing the radiant openness of the rolling hills.,30880
studio lighting,"A detailed studio lighting landscape image of the coral beach, radiating mist-covered energy and depth.",47114
HDR,"A HDR photo of the autumn woodland, rich in texture and crisp atmosphere.",45827
vintage,"A vintage photograph of a moody serene lake, emphasizing natural light and balanced tones.",20944
food,"A large-format food photo of a breathtaking city skyline, realistic lighting and crisp detail.",41413
